image,category,true_label,vlm_output,vlm_is_fire,vlm_pred,vlm_time,yolo_det_count,yolo_det_type,yolo_pred,yolo_time,collab_alert,collab_pred,collab_time
attention1.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左下、中下板块。",True,unsafe,7.85,1,fire_only,unsafe,1.60,ALARM,unsafe,7.86
attention10.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下、右下板块。",True,unsafe,5.84,1,fire_only,unsafe,0.01,ALARM,unsafe,5.86
attention11.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张蜡烛和书的照片。蜡烛正在燃烧，但没有明显的火势或烟雾。",False,safe,6.74,0,nothing,safe,0.01,SAFE,safe,6.75
attention12.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张展示吸烟和打火机的图片。烟雾和火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",False,safe,10.96,2,fire+smoke,unsafe,0.01,CAUTION,unsafe,10.97
attention13.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张展示一个人正在点燃香烟的照片。照片中没有明显的火源或燃烧现象。",False,safe,6.27,2,fire+smoke,unsafe,0.01,CAUTION,unsafe,6.28
attention14.jpg,attention,unsafe,"这是一张不涉及火灾的图片。

不是火灾图像。无需分析版块。 

请注意，我不能对涉及非法或有害内容的图片进行描述。如果您有其他问题或需要帮助，请随时告诉我。",False,safe,10.64,1,smoke_only,unsafe,0.02,CAUTION,unsafe,10.65
attention15.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.19,0,nothing,safe,0.01,ALARM,unsafe,6.20
attention16.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.28,2,fire_only,unsafe,0.01,ALARM,unsafe,8.29
attention17.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张展示面包和蜡烛的照片。没有看到任何与火灾相关的迹象。",False,safe,5.48,0,nothing,safe,0.01,SAFE,safe,5.49
attention18.jpg,attention,unsafe,"这不是一张火灾图像。

该图片中没有显示任何与火灾相关的迹象或元素。它只展示了一位正在吸烟的人。",False,safe,6.44,0,nothing,safe,0.01,SAFE,safe,6.45
